  Remplis une ligne par question. Le champ 'id' doit correspondre exactement aux onglets OPTIONS et IMAGES.,,,,
id,titre,niveau,explication_texte,actif
q-001,Que va-t-il probablement se passer après cette configuration ?,intermediaire,"1. Breach avec grosse demande. On peut voir que le prix est over-extended. Donc tu ne fais rien
2. High volume sur la demande et aussi au début du pullback
3. Début du pullback avec du volume? Donc stand-by
4. On peut voir qu'il y a un petit accepted Price qui est maintenu. Si tu veux c'est là tu trade la deuxième jambe du pullback
5. Deuxième jambe du pullback qui fait un breach 
6. Le SR répond et pousse le prix vers le sud
7. Le mouvement est bien intense. C'est la première tentative des vendeurs. A ce stade, si on veut vendre, on attend de voir si la réponse des acheteurs va faire un plus haut
8. On peut voir qu'il n'y a pas de plus haut, le prix a commencé par descendre
9. Le prix est descendu deux fois avec intensité
10. Faible réaction des acheteurs.",oui
q-002,Que va-t-il probablement se passer après cette configuration ?,avance,"1. Breach avec grosse demande. On peut voir que le prix est over-extended. Donc tu ne fais rien
2. Il y a un range durant le développement de la tendance. Donc faire attention à ce Price point.
3. On a du volume au niveau du range. Ce qui peut être très interessant
4. Première jambe de pullnack. On attend de voir où cela va s'arrêter
5. Accepted price pour la premiere jambe de pullback
6. Week seller. On peut s'attendre à ce que le niveau avec le range réagisse",oui
q-003,Que va-t-il probablement se passer après cette configuration ?,intermediaire,"Anticipation Sharp Reversal
1. On peut voir que le prix est trop monté. Une forme de over-extended si bien qu'il ne faisait plus de higher high
2. On.a eu du volume au dessus de la moyenne et malgré cela le prix n'est pas monté
3. Mais on peut voir que les creux faisaient des plus haut. On entre comme ça dans une congestion. Et dans une congestion on attend la cassure. Pas pour suivre dans le sens de la cassure mais pour voir la réponse après
4. La cassure est arrivée. On attend de voir la réponse
5. Il y a rejet. Et le pris a commencé par s'affaiblir dans la descente, faisant un peu de over-extended. On attend que ça stabilise avant de sauter dans le train",oui
q-004,Que va-t-il probablement se passer après cette configuration ?,debutant,"1. Tendance haussière mais qui commence à ralentir
2. Le premier plus haut
3. Réaction des vendeurs qui est un peu intense
4. Les acheteurs reprennent le mouvement haussier mais ne vont pas plus haut que le précédent sommet
5. Réaction des vendeurs qui est plus importante qu'à la phase 3. A ce stade on attend de voir. On ne peut rien anticiper pour la seule raison que les vendeurs sont forts et on ne sait pas là ou ils vont finir.
6. Le prix stabilise mais on ne peut pas encore se positionner. C'est la partie la plus difficile
7. A ce stade on peut voir qu'il y a eu de la volatilité mais je n'ai pas cassé le range. Je peux déjà commencé par l'intéresser à ce qui pourrait se passer en mettant par exemple une alerte sur la résistance pour être informé d'un kill. Je ne fais rien au kill. C'est après la réaction au kill que j'évalue ce qu'il y a à faire
8. Le mouvement volatile est soutenu par du volume. Ce qui est très interessant
9. Nous avons eu le prix qui est monté mais de manière très nonchalante. On attend de voir ce qu'il va se passer. Durant sa montée on peut voir une petite pause qu'il y a eu. Attention à ce spot
10. Il y a eu réaction des acheteurs. C'est surtout le canal haussier qu'il y a eu après cette réaction qui est interessante pour l'entrée",oui
q-005,Que va-t-il probablement se passer après cette configuration ?,avance,"1. Tendance baissière qui a commencé par perdre de la puissance vers la fin. On peut voir ça avec les bougies de la deuxième jambe.
2. Gros rejet de la part des acheteurs.
3. Pullback qui est allé plus haut que dernier responsable Sell. Strong and deep pullback même si les bougies ne sont pas très très intenses.
4. On a eu un range après le rejet. Les vendeurs n'ont pas pu continuer la descente. Le prix est monté après ce qui a créé un Trap. Il y a eu plein de vendeurs qui se sont positionnés là pour vendre et sont en perte.
5. Vu la force du pullback représenté en 3, cela prendra du temps pour être digéré. En la considérant comme une demande, le mouvement de descente qui est représenté ici est comme un mini pullback. Et c'est la première jambe du pullback. Vu la force, il faut s'attendre soit à un range (Money spot) soit à une autre tentative de descente plus forte pour que les acheteurs se re-positionnent.
6. Faible réaction des acheteurs.
7. Forte tentative des vendeurs. Cette forte tentative peut prêter à confusion quand on la voit en live et penser que c'est la grande tendance qui reprend mais c'est pas le cas. Il faut attendre une réaction de la part des acheteurs parce que le prix est pil au niveau du mini range où les derniers vendeurs se sont fait avoir. Nous aurons ces dernier qui vont vouloir vendre et les acheteurs qui sont dans le sens du mouvement 3 qui voudront aussi reprendre la tendance. 
8. Réaction de la lecture du point précédent. Rejet qui justifie la réaction des acheteurs et du TRAP Release. Nous auront droit à une congestion puisqu'il y a deux force en présence.
9. Congestion en forme de triangle. Il faut attendre que le prix sorte d'un coté ou de l'autre et décidé après la réaction. Jamais pendant la cassure. Toujours après la réaction.
10. Le prix est sortie au nord. Il faut attendre la réaction
11. Rejet après la sortie. 

Lecture niveau avancée. On peut aussi voir que c'est un graphique de H4, ce ce qui requiert de la patience et le fait d'attendre la clôture des bougies pour décider.",oui
q-006,Que va-t-il probablement se passer après cette configuration ?,intermediaire,"1. Sustained bullish trend. Waiting for the pullback.
2. Range forming mid-trend — a potential reaction level. When price pauses and then continues, chasing the trend aggressively becomes risky.
3. Price peak. Anticipating tops is not advised, but this level serves as a reference for evaluating price reaction on return.
4. First official pullback since the trend began. A trap was created — a Seller reaction is possible if price pushes back up.
5. Breach created by Sellers. Watch this level if price returns to it as resistance.
6. Trend pause. Taking a long at this level carries risk — price could push lower from here. This low is the accepted price.
7. Buyers retake control and push toward the breach. Price does not cross through.
8. Resistance holds. Buyers slow at this level.
9. Price drops again — the Seller reaction from the trap playing out. The move is sufficiently strong. Two questions: will Sellers stall at the accepted price? How will this leg be absorbed?
10. Rejection. Buyers are present at this level, even though price briefly traded below the accepted price. Waiting for the Seller response — will they push price back down, or will they stall?
11. Price stalls and eventually moves up. This is a daily chart — patience required.",oui
q-007,Que va-t-il probablement se passer après cette configuration ?,intermediaire,"1. Upward demand.
2. Small congestion forming mid trend. Ranges forming within a trend development always warrant attention.
3. Pullback officially established. Waiting for two things: the end of this pullback, and the Seller reaction when price returns to the pullback origin zone.
4. Accepted price — Buyer reaction. A Seller reaction is also expected at this stage.
5. Seller reaction as anticipated. Watching whether price breaks below the accepted price or Buyers step in.
6. Key level. No reason to rush here — waiting for a clear reaction or volatility.
7. Rejection by Buyers. Waiting to see how Sellers respond.
8. Buyers push.
9. Weak Seller reaction. After this bearish candle, dropping to the X-1 timeframe to time the entry.

Note: This setup qualifies as a Kill — the last two highs form a descending trendline, and the current push up represents a breakout from that congestion. Another Seller reaction is expected. That reaction will determine whether continuing long remains valid.",oui
q-008,Que va-t-il probablement se passer après cette configuration ?,debutant,"1. Bearish trend with a breach. The break is notably large compared to prior structure.
2. Support broken. This level will likely react as resistance on return.
3. Note the small range forming mid-trend.
4. First leg of the pullback begins. This is where chasing the trend short becomes tempting — but worth asking whether this discount level suits institutional players. Price is also over-extended relative to the EMA20.
5. Second leg of the pullback, significantly larger than the first. Price reaches the S/R level.
6. Seller reaction — but no short entry yet. Waiting to see how it develops. Two scenarios: price ranges here, or Buyers push higher again as they currently hold short-term control.
7. Buyers unable to continue the move up. The signal within the range: watch for volatility. If volatility emerges during the range, that flags a problem.

Note: This is a clean, high-probability setup — but timing it becomes difficult when volatility is ignored or patience runs short. The apparent clarity of the trade can create false confidence and lead to premature entries.",oui
q-009,Que va-t-il probablement se passer après cette configuration ?,avance,"1. Two-sided market — bearish trend on the left, bullish trend more recently. Focusing on the bullish trend as price appears to be resisting the prior bearish move. Reading the range that developed after the bullish leg.
2. After the rally, price moves into Seller territory temporarily. Key question: how far down will price go?
3. Buyers react and price pulls back. Price prints a lower high relative to the previous peak, while lows continue rising — classic congestion structure.
4. Bullish break of the congestion. After any congestion break, no action taken — waiting for the post-break reaction.
5. Congestion break. The break is sharp. A range is the likely next development.
6. Range or Money spot — formed after the two sharp moves: the congestion break at point 4 and the reaction at point 5.
7. Another congestion break — this is FOMO. After repeated tests, price appears ready to move. This triggers a Dash of Evil. Price fails to continue the rally.
8. Range after FOMO. When a FOMO break produces no follow-through, a range followed by a Dash is expected.
9. Dash. Recovery is not immediate here — a large range was also broken, which adds complexity. All stops placed below the range have been taken out.
10. Range break test — forms Set 1.
11. Set 2 — trend resumption.

Note: This setup demands patience to read each phase correctly, alongside close attention to volatility. Where could a trader have been caught?

- Point 4 — Easy to assume price would simply continue, when it was only a Kill.
- Point 6 — The range here is hard to anticipate. However, the two moves at points 4 and 5 already signal it: price was either going to drop sharply or consolidate into a range.
- Point 8 — Risk of getting trapped in the range. It was anticipatable — price was already showing an inability to continue.
- Point 10 — Hard to hold through Set 1 / Set 2 after the Dash, when the expectation is that a Dash reaction must be immediate. Advanced-level read.",oui
q-010,Que va-t-il probablement se passer après cette configuration ?,avance,"1. Mouvement baissier et prix over-extended. Donc on attend le pullback
2. Pullback en forme de canal haussier. Comment faire pour ne pas resté coincé dans le pullback? Surtout avec les mouvements haussier intenses?
3. Accepted price mais c'est souvent la suite qui définit vraiment le accepted price. 
4. Très bonne réaction réaction de la part des vendeurs pour reprendre la tendance. Mais on a pas fait de plus bas. Et on pouvait s'attendre à cela.
5. Résistance créée par le Accepted price
6. Réaction des acheteurs. Ils ont remonté le prix
7. Pullback de ce mouvement d'achat
8. Réaction forte des acheteur. C'est un peu comme le Second Leg d'un pullback qui est plus intense. Si on considère le mouvement en 4 comme une tendance, le mouvement en 6 est comme la première jambe du pullback et le mouvement en 8 comme la deuxième jambe plus intense. Maintenant la question est de savoir si la seconde jambe intense fera plus haut que le précédent sommet. (Il faut aussi intégrer le fait que le prix est over-extended.
9. Réaction des vendeurs. Cette réaction a créé un Trap. Mais on ne peut encore rien pour l'instant. Vu la force du mouvement 8 on doit s'attendre à une réaction
10. Réaction des acheteurs qui ne sont pas allé plus loin que le Trap qui a été créé par le mouvement 9
11. Trap release 

Note : 
Il y a plein d'endroit où on peut se faire avoir à vouloir reprendre la tendance vers le bas. Où à vouloir aller vers le haut, ou même a choisir un sens. Durant la phase de pullback en 2 on peut se faire avoir. Le mouvement en 4 peut paraitre très confus. Le mouvement en 7 peut donner l'impression que les vendeurs sont de retour. Cette lecture est de niveau avancé.",oui
